Timestamp,CPU Package Temperature (C),CPU Power Consumption (W),Humidity (%)
2024-11-14 15:54:01,52.5,1.01,22.0
2024-11-14 15:54:02,52.375,0.86,22.0
2024-11-14 15:54:04,52.25,1.1,22.0
2024-11-14 15:54:05,51.875,1.01,23.0
2024-11-14 15:54:06,51.75,0.9,23.0
2024-11-14 15:54:07,52.0,1.08,22.0
2024-11-14 15:54:09,53.0,1.11,21.0
2024-11-14 15:54:10,53.25,1.2,21.0
2024-11-14 15:54:11,53.125,1.3,21.0
2024-11-14 15:54:13,53.125,1.11,21.0
2024-11-14 15:54:14,52.75,0.96,21.0
2024-11-14 15:54:15,52.5,0.94,22.0
2024-11-14 15:54:17,52.25,1.06,22.0
2024-11-14 15:54:18,51.875,1.01,23.0
2024-11-14 15:54:19,52.125,1.17,22.0
2024-11-14 15:54:21,54.0,2.53,20.0
2024-11-14 15:54:22,53.5,1.1,20.0
2024-11-14 15:54:23,53.125,1.21,21.0
2024-11-14 15:54:24,52.75,0.99,21.0
2024-11-14 15:54:26,52.0,0.72,22.0
2024-11-14 15:54:27,51.625,1.03,23.0
2024-11-14 15:54:28,51.75,1.34,23.0
2024-11-14 15:54:30,51.375,0.67,23.0
2024-11-14 15:54:31,52.125,1.11,22.0
2024-11-14 15:54:32,52.75,0.85,21.0
2024-11-14 15:54:34,53.125,1.6,21.0
2024-11-14 15:54:35,52.125,0.93,22.0
2024-11-14 15:54:36,51.75,0.91,23.0
2024-11-14 15:54:37,51.375,0.99,23.0
2024-11-14 15:54:39,51.25,0.58,24.0
2024-11-14 15:54:40,51.5,1.43,23.0
2024-11-14 15:54:41,52.0,1.38,22.0
2024-11-14 15:54:43,51.875,1.2,23.0
2024-11-14 15:54:44,51.625,0.65,23.0
2024-11-14 15:54:45,51.625,1.07,23.0
2024-11-14 15:54:47,51.25,0.85,24.0
2024-11-14 15:54:48,50.875,0.95,24.0
2024-11-14 15:54:49,50.75,0.96,24.0
2024-11-14 15:54:51,51.625,1.54,23.0
2024-11-14 15:54:52,51.125,1.08,24.0
2024-11-14 15:54:53,51.25,1.11,24.0
2024-11-14 15:54:54,50.875,0.99,24.0
2024-11-14 15:54:56,50.25,0.68,25.0
2024-11-14 15:54:57,50.0,0.63,25.0
2024-11-14 15:54:58,50.0,0.9,25.0
2024-11-14 15:55:00,49.875,0.77,26.0
2024-11-14 15:55:01,49.875,1.0,26.0
2024-11-14 15:55:02,49.875,0.83,26.0
2024-11-14 15:55:04,49.75,0.59,26.0
2024-11-14 15:55:05,49.5,0.65,26.0
2024-11-14 15:55:06,49.375,1.09,26.0
2024-11-14 15:55:07,49.25,1.02,27.0
2024-11-14 15:55:09,49.625,0.65,26.0
2024-11-14 15:55:10,49.5,0.98,26.0
2024-11-14 15:55:11,49.375,1.11,26.0
2024-11-14 15:55:13,49.125,0.66,27.0
2024-11-14 15:55:14,49.75,1.07,26.0
2024-11-14 15:55:15,50.125,1.25,25.0
2024-11-14 15:55:17,50.375,0.99,25.0
2024-11-14 15:55:18,50.75,1.15,24.0
2024-11-14 15:55:19,50.5,0.95,25.0
2024-11-14 15:55:20,50.25,0.63,25.0
2024-11-14 15:55:22,49.625,0.69,26.0
2024-11-14 15:55:23,49.625,0.69,26.0
2024-11-14 15:55:24,49.625,0.6,26.0
2024-11-14 15:55:26,49.625,0.89,26.0
2024-11-14 15:55:27,49.375,0.66,26.0
2024-11-14 15:55:28,49.5,1.09,26.0
2024-11-14 15:55:29,49.625,0.62,26.0
2024-11-14 15:55:31,49.375,0.74,26.0
2024-11-14 15:55:32,49.875,0.98,26.0
2024-11-14 15:55:33,49.875,0.88,26.0
2024-11-14 15:55:35,49.75,0.59,26.0
2024-11-14 15:55:36,49.875,0.9,26.0
2024-11-14 15:55:37,50.0,0.65,25.0
2024-11-14 15:55:39,50.125,0.51,25.0
2024-11-14 15:55:40,50.75,0.66,24.0
2024-11-14 15:55:41,50.625,0.74,25.0
2024-11-14 15:55:43,50.625,0.61,25.0
2024-11-14 15:55:44,50.5,0.72,25.0
2024-11-14 15:55:45,50.5,1.02,25.0
2024-11-14 15:55:46,50.75,0.92,24.0
2024-11-14 15:55:48,51.875,1.34,23.0
2024-11-14 15:55:49,52.125,1.17,22.0
2024-11-14 15:55:50,52.875,1.24,21.0
2024-11-14 15:55:52,52.375,0.73,22.0
2024-11-14 15:55:53,52.125,1.01,22.0
